title,img_src,link,author,publisher,price
폭군의 아이를 가졌습니다. 2,https://bookthumb-phinf.pstatic.net/cover/163/422/16342264.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16342264, 류란,페리윙클,"10,620원(-10%)"
폭군의 아이를 가졌습니다. 3,https://bookthumb-phinf.pstatic.net/cover/163/422/16342265.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16342265, 류란,페리윙클,"10,620원(-10%)"
다시 태어나도 그 놈은 피해라 7,https://bookthumb-phinf.pstatic.net/cover/163/496/16349621.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349621, 두경,어울림출판사,"7,200원(-10%)"
영주학개론 10,https://bookthumb-phinf.pstatic.net/cover/163/496/16349625.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349625, 수호,어울림출판사,"7,200원(-10%)"
반복되는 타임리프 끝에 네 눈동자에 비치는 사람은,https://bookthumb-phinf.pstatic.net/cover/163/492/16349212.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349212, 아오바 유이치,제우미디어,"11,520원(-10%)"
행잉 가든(버티고 시리즈),https://bookthumb-phinf.pstatic.net/cover/163/500/16350086.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16350086, 이언 랜킨,오픈하우스,"13,500원(-10%)"
일식이가 간다 35,https://bookthumb-phinf.pstatic.net/cover/163/483/16348314.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348314, 이후,스카이북,"7,200원(-10%)"
공주님은 공무 중,https://bookthumb-phinf.pstatic.net/cover/163/454/16345417.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345417, 피파 로스코,신영미디어,"4,680원(-10%)"
나쁜 남자의 비즈니스,https://bookthumb-phinf.pstatic.net/cover/163/454/16345418.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345418, 야라 세인트 존,신영미디어,"4,680원(-10%)"
더블 로열 스캔들,https://bookthumb-phinf.pstatic.net/cover/163/454/16345419.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345419, 린 그레이엄,신영미디어,"4,680원(-10%)"
